Rate	34.48
RJ Local Transform Add / Remove	34.48
Local Transform Move	3.45
Local Transform Change Scale	27.59
Rate Tried	% Accepted	RJ Local Transform Add / Remove Tried	% Accepted	Local Transform Move Tried	% Accepted	Local Transform Change Scale Tried	% Accepted	Alpha 1 - Dev	Alpha 1 - Tried	Alpha 1 - Accepted	Sigma^2 1 - Dev	Sigma^2 1 - Tried	Sigma^2 1 - Accepted	VarRates - Dev	VarRates - Tried	VarRates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
351	0.267806	347	0.100865	40	0.600000	262	0.354962	11.042402	178	0.314607	1.623440	173	0.219653	42.675184	262	0.354962	0.246000	0.260529	
325	0.258462	332	0.069277	27	0.518519	316	0.287975	11.042402	162	0.296296	1.623440	163	0.220859	42.675184	316	0.287975	0.212000	0.259733	
349	0.255014	335	0.059701	46	0.695652	270	0.255556	11.042402	193	0.248705	1.623440	156	0.262821	42.675184	270	0.255556	0.210000	0.258931	
341	0.313783	369	0.059621	39	0.564103	251	0.254980	11.042402	173	0.323699	1.623440	168	0.303571	42.675184	251	0.254980	0.215000	0.258234	
342	0.309942	352	0.042614	30	0.500000	276	0.293478	11.042402	164	0.353659	1.623440	178	0.269663	42.675184	276	0.293478	0.217000	0.257590	
330	0.263636	348	0.074713	30	0.533333	292	0.356164	11.042402	166	0.319277	1.623440	164	0.207317	42.675184	292	0.356164	0.233000	0.257211	
381	0.333333	328	0.079268	40	0.525000	251	0.330677	11.042402	175	0.365714	1.623440	206	0.305825	42.675184	251	0.330677	0.257000	0.257208	
347	0.285303	346	0.046243	40	0.575000	267	0.288390	11.042402	168	0.303571	1.623440	179	0.268156	42.675184	267	0.288390	0.215000	0.256578	
313	0.361022	350	0.068571	38	0.552632	299	0.334448	11.042402	160	0.381250	1.623440	153	0.339869	42.675184	299	0.334448	0.258000	0.256599	
330	0.263636	352	0.068182	41	0.536585	277	0.357401	11.042402	180	0.266667	1.623440	150	0.260000	42.675184	277	0.357401	0.232000	0.256243	
