Rate	34.48
RJ Local Transform Add / Remove	34.48
Local Transform Move	3.45
Local Transform Change Scale	27.59
Rate Tried	% Accepted	RJ Local Transform Add / Remove Tried	% Accepted	Local Transform Move Tried	% Accepted	Local Transform Change Scale Tried	% Accepted	Alpha 1 - Dev	Alpha 1 - Tried	Alpha 1 - Accepted	Sigma^2 1 - Dev	Sigma^2 1 - Tried	Sigma^2 1 - Accepted	VarRates - Dev	VarRates - Tried	VarRates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
341	0.266862	341	0.093842	33	0.454545	285	0.315789	10.836062	178	0.202247	1.449697	163	0.337423	42.495927	285	0.315789	0.228000	0.251363	
338	0.319527	355	0.053521	43	0.488372	264	0.348485	10.836062	171	0.339181	1.449697	167	0.299401	42.495927	264	0.348485	0.240000	0.251205	
334	0.326347	327	0.064220	28	0.428571	311	0.311897	10.836062	152	0.328947	1.449697	182	0.324176	42.495927	311	0.311897	0.239000	0.251038	
332	0.376506	356	0.044944	23	0.434783	289	0.321799	10.836062	173	0.387283	1.449697	159	0.364780	42.495927	289	0.321799	0.244000	0.250943	
333	0.303303	340	0.058824	44	0.500000	283	0.296820	10.836062	161	0.285714	1.449697	172	0.319767	42.495927	283	0.296820	0.227000	0.250623	
344	0.328488	321	0.040498	30	0.366667	305	0.354098	10.836062	157	0.254777	1.449697	187	0.390374	42.495927	305	0.354098	0.245000	0.250549	
366	0.341530	339	0.070796	33	0.666667	262	0.282443	10.836062	193	0.336788	1.449697	173	0.346821	42.495927	262	0.282443	0.245000	0.250477	
372	0.360215	314	0.044586	26	0.423077	288	0.281250	10.836062	179	0.374302	1.449697	193	0.347150	42.495927	288	0.281250	0.240000	0.250343	
360	0.322222	317	0.066246	35	0.485714	288	0.364583	10.836062	186	0.311828	1.449697	174	0.333333	42.495927	288	0.364583	0.259000	0.250453	
357	0.336134	365	0.057534	34	0.617647	244	0.229508	10.836062	170	0.317647	1.449697	187	0.352941	42.495927	244	0.229508	0.218000	0.250047	
387	0.359173	333	0.051051	44	0.454545	236	0.338983	10.836062	182	0.351648	1.449697	205	0.365854	42.495927	236	0.338983	0.256000	0.250120	
364	0.324176	336	0.050595	36	0.527778	264	0.359848	10.836062	172	0.302326	1.449697	192	0.343750	42.495927	264	0.359848	0.249000	0.250107	
360	0.291667	338	0.068047	37	0.594595	265	0.309434	10.836062	180	0.311111	1.449697	180	0.272222	42.495927	265	0.309434	0.232000	0.249889	
